R,Nome,R_Mantra,Squadra_y,Tit,Quote,Predict,Predict STD,FinVal,Diff,Tot. (%),SpesaPer,SpesaM,SpesaDiff,TA,LJAJIC,Torino,16
D,DURMISI,Ds;E,Lazio,0.5,5.0,5.596006876080082,0.2150423224041826,5.875448951151472,0.8754489511514718,0.53,1.59,11.11782040600311,19.05564081200622,DsE,DURMISI,Lazio,5
D,ABATE,Dd;E,Milan,0.45,3.0,5.669310629587375,0.1892456142683523,5.323018798511217,2.323018798511217,0.36,1.08,9.89223291558697,17.62446583117394,DdE,ABATE,Milan,3
D,ANTONELLI,Ds;E,Empoli,0.65,4.0,5.400814510914119,0.2077688091034078,6.686633585091355,2.686633585091356,0.44,1.32,12.40802439669215,22.17604879338429,DsE,ANTONELLI,Empoli,4
C,BERTOLACCI,C,Milan,0.5,7.0,5.847277152536315,0.2329644453418739,7.669409347318823,0.6694093473188225,3.39,10.17,18.55970397083069,16.77940794166138,C,BERTOLACCI,Milan,7
C,MONTOLIVO,M;C,Milan,0.4,4.0,5.71380226032461,0.2001753220367327,5.02373907732619,1.02373907732619,0.55,1.65,9.651415937405881,16.00283187481176,MC,MONTOLIVO,Milan,4
D,STRINIC,Ds;E,Milan,0.55,5.0,5.758293891061846,0.2111050298051131,7.559266902979331,2.559266902979331,0.74,2.22,14.39119013359924,24.34238026719849,DsE,STRINIC,Milan,5
D,MUSACCHIO,Dc,Milan,0.5,5.0,5.758293891061846,0.2111050298051131,6.850565016269788,1.850565016269788,0.76,2.28,13.17604234000563,21.79208468001126,Dc,MUSACCHIO,Milan,5
C,BORINI,W,Milan,0.55,6.0,5.80278552179908,0.2220347375734935,7.968689068503848,1.968689068503848,2.3,6.899999999999999,17.45052094901177,21.10104189802355,W,BORINI,Milan,6
C,HALILOVIC,T,Milan,0.5,2.0,5.624818998850141,0.1783159064999719,5.622298519696242,3.622298519696242,0.89,2.67,11.21304989376806,17.08609978753611,T,HALILOVIC,Milan,2
C,GRASSI,C,Parma,0.8,9.0,5.618905160342107,0.2625233092398354,10.83360753232192,1.833607532321924,1.35,4.050000000000001,21.05901524463327,34.01803048926655,C,GRASSI,Parma,9
D,MAKSIMOVIC,Dc,Napoli,0.45,4.0,5.816756898588417,0.1976775095326238,6.351053129406843,2.351053129406843,0.38,1.14,11.72842914965711,21.17685829931421,Dc,MAKSIMOVIC,Napoli,4
D,CHIRICHES,Dc,Napoli,0.45,3.0,5.772265267851182,0.1867478017642434,5.941630963882332,2.941630963882332,0.29,0.8699999999999999,10.87409833424459,20.00819666848918,Dc,CHIRICHES,Napoli,3
C,ROG,C;T,Napoli,0.45,5.0,5.861248529325652,0.2086072173010042,6.760475294931366,1.760475294931366,0.73,2.19,12.97275996506965,21.56551993013929,CT,ROG,Napoli,5
A,YOUNES,A,Napoli,0.45,3.0,5.772265267851182,0.1867478017642434,5.941630963882332,2.941630963882332,0.16,0.48,10.67909833424459,20.39819666848918,A,YOUNES,Napoli,3
P,SEPE,Por,Parma,0.9,6.0,5.485430268130402,0.2297341859346942,11.02274480916745,5.022744809167452,0.68,2.04,20.38631838558291,36.69263677116583,Por,SEPE,Parma,6
D,DIMARCO,Ds;E,Parma,0.65,5.0,5.440938637393167,0.2188044781663138,7.069813210095244,2.069813210095244,0.93,2.79,13.81624860220236,22.05249720440472,DsE,DIMARCO,Parma,5
C,DEZI,C,Parma,0.75,5.0,5.440938637393167,0.2188044781663138,8.487216983514319,3.487216983514319,1.94,5.82,17.82154418938957,24.00308837877913,C,DEZI,Parma,5
D,GAZZOLA,Dd;E,Parma,0.75,5.0,5.440938637393167,0.2188044781663138,8.487216983514319,3.487216983514319,1.12,3.36,16.59154418938957,26.46308837877913,DdE,GAZZOLA,Parma,5
A,SILIGARDI,A,Parma,0.5,7.0,5.529921898867637,0.2406638937030746,5.762551881015668,-1.237448118984332,1.75,5.25,12.7494668522466,14.9989337044932,A,SILIGARDI,Parma,8
A,BARAYE,A,Parma,0.3,5.0,5.440938637393167,0.2188044781663138,2.108900003128473,-2.891099996871527,3.1,9.3,8.355214047047106,-1.88957190590579,A,BARAYE,Parma,5
